0	10	31212
0	15	31217
0	25	31208
0	30	31206
0	35	31217
0	40	31226
0	45	31203
0	50	31209
5	55	31248
5	50	31237
5	45	31235
5	40	31227
5	35	31218
5	30	31208
5	25	31215
5	20	31219
10	0	31217
10	5	31213
10	10	31211
10	15	31214
10	20	31216
10	25	31224
10	30	31242
10	35	31243
10	40	31179
10	45	31203
10	0	31229
15	0	31233
20	0	31233
25	0	31236
30	0	31234
35	0	31231
40	0	31222
45	5	31195
40	5	31218
35	5	31227
30	5	31223
25	5	31224
20	5	31225
15	5	31225
10	5	31221
5	5	31222
0	5	31215
5	10	31222
0	10	31223
5	10	31219
10	10	31217
15	10	31216
20	10	31222
25	10	31226
30	10	31228
35	10	31231
40	10	31229
45	10	31223
50	10	31211
55	15	31213
50	15	31241
45	15	31242
40	15	31242
35	15	31229
30	15	31226
25	15	31225
20	15	31223
15	15	31218
10	15	31216
5	15	31216
0	15	31223
0	20	31222
5	20	31217
10	20	31220
15	20	31234
20	20	31243
25	20	31236
30	20	31227
35	20	31223
40	20	31216
45	20	31216
50	20	31211
55	20	31211
60	20	31214
55	25	31228
50	25	31230
45	25	31216
40	25	31220
35	25	31222
30	25	31227
25	25	31231
20	25	31233
15	25	31231
10	25	31220
5	25	31213
0	25	31219
5	25	31223
10	25	31223
15	25	31223
20	25	31223
