0	0	31364.14
10	0	31367.85
20	0	31358.89
30	0	31364.9
40	0	31335.33
50	0	31335.7
60	0	31357.86
60	10	31360.61
50	10	31378.74
40	10	31361.66
30	10	31349.71
20	10	31317.21
10	10	31339.48
0	10	31354.23
10	10	31354.35
20	10	31391.42
10	15	31378.55
20	15	31364.88
30	15	31384.08
40	15	31334.64
50	15	31322.76
60	15	31260.06
70	15	31331.42
80	15	31341.75
90	15	31373.62
90	25	31357.86
80	25	31334.28
70	25	31327.37
60	25	31307.83
50	25	31279.95
40	25	31403.69
30	25	31321.94
20	25	31364.89
10	25	31354.79
0	25	31376.89
10	25	31390.12
0	15	31407.47
10	15	31397.7
20	15	31357.51
30	15	31426.25
40	15	31335.38
50	15	31362.04
60	15	31327.66
70	15	31351.54
70	15	31388.13
60	15	31328.72
50	15	31368.67
40	15	31355.13
30	15	31386.85
20	15	31387.11
10	15	31396.38
0	15	31402.73
10	15	31397.3
0	20	31404.68
10	20	31400.69
20	20	31394.51
30	20	31413.64
40	20	31390.68
50	20	31374.15
60	20	31385.87
70	20	31364.38
80	20	31389.49
90	20	31351.66
100	20	31330.19
110	20	31279.39
120	20	31347.54
120	20	31326.98
110	20	31188.6
100	20	31290.89
90	20	31284.6
80	20	31363.51
70	20	31363.68
60	20	31391.85
50	20	31388.26
40	20	31428.15
30	20	31401.93
20	20	31285.65
10	20	31356.05
0	25	31494.43
10	25	31426.98
20	25	31339.84
30	25	31342.82
40	25	31424.23
50	25	31388.75
60	25	31356.09
70	25	31380.33
80	25	31371.41
90	25	31380.37
100	25	31322.74
110	25	31272.88
120	25	31399.84
130	25	31312.05
140	25	31383.39
140	25	31399.36
130	25	31294.8
120	25	31345.62
110	25	31411.28
100	25	31363.23
90	25	31375.06
80	25	31415.57
70	25	31371.58
60	25	31426.35
50	25	31366.77
0	30	31407.05
10	30	31396.09
20	30	31393.35
30	30	31349.65
40	30	31391.63
50	30	31407.97
60	30	31316.89
70	30	31298.46
80	30	31414.87
90	30	31308.38
90	35	31365.84
80	35	31345.64
70	35	31333.78
60	35	31373.47
50	35	31341.08
40	35	31373.49
30	35	31376.64
30	40	31386.51
40	40	31345.12
50	40	31344.24
60	40	31327.67
70	40	31341.12
80	40	31353.64
90	40	31341.06
90	45	31397.61
80	45	31305.51
70	45	31339.78
60	45	31345.11
50	45	31370.82
40	45	31387.66
40	50	31359.16
50	50	31338.15
60	50	31348.53
70	50	31363.5
80	50	31351.15
90	50	31334.48
90	55	31347.55
80	55	31346.64
70	55	31353.38
50	55	31356.97
40	55	31346.19
40	60	31339.29
50	60	31342.58
60	60	31347.09
70	60	31339.22
80	60	31373.66
80	65	31402.99
70	65	31376.41
60	65	31340.56
